"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"73","3.14143575","244","3.1409615","257","3.14182575","265","3.141096","260","3.14209325","268","3.14244025","265","3.14107275","247","3.1419815","271","3.1408875","257","3.142243","257","3.1415575","271","3.141122","226","3.1411775","257","3.1412915","257","3.1415132678571425","257","271"
"74","3.14190775","260","3.14110725","236","3.14151525","252","3.14120975","256","3.14236925","260","3.14129375","260","3.141747","256","3.14217075","252","3.141264","252","3.14096875","249","3.14156875","265","3.14155975","262","3.14148225","262","3.1419515","250","3.141579696428571","255","265"
"75","3.14214475","259","3.14174425","257","3.14179625","260","3.14132025","255","3.1412915","259","3.1420935","227","3.141866","261","3.14136625","253","3.1417455","261","3.14149625","260","3.14149375","253","3.14114525","262","3.14193325","255","3.14224775","254","3.14169175","255","262"
"76","3.14098675","158","3.14115075","85","3.1415615","243","3.1413315","274","3.14122175","244","3.14216","261","3.14133925","261","3.141447","268","3.14183025","261","3.141739","276","3.1413765","276","3.142005","261","3.14184075","244","3.14208175","261","3.141576553571429","240","276"
"77","3.1419555","261","3.1417975","267","3.141653","249","3.14180625","263","3.14191975","265","3.1418705","258","3.141578","258","3.1415505","258","3.140934","255","3.14205625","258","3.14031375","255","3.141468","258","3.142025","264","3.14229875","259","3.1416590535714284","259","267"
"78","3.1415765","100","3.1416445","254","3.14115975","263","3.14141375","259","3.14073375","260","3.1416945","262","3.14131175","258","3.14220325","254","3.14105575","254","3.142243","253","3.141645","254","3.14223625","259","3.1412","254","3.14130825","254","3.141530428571429","245","263"
"79","3.14162825","180","3.14139","253","3.14132375","264","3.1410435","253","3.142175","256","3.14223775","264","3.1411115","247","3.14182675","243","3.1411475","266","3.14196975","263","3.1414645","254","3.14213975","250","3.14212","263","3.14188925","264","3.141676232142857","251","266"
"80","3.14118975","186","3.14167125","180","3.141315","200","3.14130175","215","3.14134675","215","3.1416905","215","3.1413595","258","3.141513","258","3.141445","270","3.141729","252","3.14049825","252","3.14181325","244","3.1412675","244","3.14172225","243","3.141418767857143","230","270"
"81","3.14141725","264","3.14039725","236","3.1413865","256","3.1411935","240","3.14159225","268","3.1418965","257","3.141584","257","3.14126075","256","3.141904","264","3.1411475","252","3.1409415","216","3.1419105","258","3.14171175","267","3.141378","256","3.1414086607142857","253","268"
"82","3.14157975","191","3.14215475","254","3.141254","252","3.141892","265","3.14163675","264","3.141742","259","3.14179275","237","3.14090925","265","3.1416985","254","3.14123375","259","3.14216375","268","3.14229175","265","3.14101025","260","3.1419565","259","3.141665410714286","253","268"
