"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"92","3.1424035","211","3.1416895","220","3.14125925","190","3.14104125","236","3.14219625","227","3.14226175","227","3.14180325","240","3.14139425","237","3.142042","229","3.14130425","237","3.14213475","239","3.1414205","228","3.1417458750000002","226","240"
"93","3.141124","226","3.14131825","226","3.1417975","226","3.1418615","227","3.1416855","236","3.14138275","227","3.1416365","227","3.141619","233","3.142132","238","3.14189025","232","3.1418185","239","3.141636","227","3.1416584791666664","230","239"
"94","3.1416095","174","3.14088","237","3.14169725","239","3.14143475","236","3.1416095","153","3.141364","223","3.14169725","216","3.14170025","239","3.14100675","236","3.141409","220","3.14171275","236","3.14110875","239","3.1414358124999997","220","239"
"95","3.14178825","190","3.141858","236","3.14115875","233","3.141729","225","3.14121725","225","3.14206325","225","3.1411925","232","3.14247125","224","3.14099175","225","3.14148575","231","3.1414975","239","3.1414585","229","3.141575979166667","226","240"
"96","3.14187925","120","3.14202375","220","3.1408865","233","3.141362","205","3.14156075","203","3.1415695","240","3.1411295","229","3.1411535","239","3.14185575","235","3.141083","240","3.14163325","241","3.14201175","229","3.141512375","219","242"
"97","3.14183375","175","3.14186825","170","3.141358","170","3.14148","191","3.142204","170","3.1415565","228","3.141327","227","3.1413945","228","3.141593","227","3.14138725","227","3.14158725","236","3.1416235","239","3.141601083333333","207","240"
"98","3.1415525","232","3.14143975","219","3.141576","232","3.14186","232","3.14123625","232","3.14150425","232","3.14163775","232","3.1409945","232","3.14184675","233","3.14114325","232","3.1416595","232","3.141715","232","3.1415137916666667","231","233"
"99","3.14070825","106","3.14133575","226","3.14151275","228","3.14132875","222","3.1419115","222","3.14095275","227","3.1415585","228","3.1414985","222","3.1413515","221","3.14149675","225","3.14162625","222","3.14202825","227","3.1414424583333336","214","229"
"100","3.14204475","236","3.14089575","224","3.1419845","227","3.14234525","229","3.1407095","229","3.141296","212","3.14143925","229","3.1416125","236","3.141366","236","3.141675","235","3.1415895","230","3.1418125","229","3.1415642083333335","229","236"
"Averages","3.141580529999999","196","3.141627475000001","224","3.14155978","231","3.14156662","231","3.14161065","232","3.1415606575","234","3.1415589749999997","235","3.1415712424999986","234","3.1416126450000004","234","3.1416143000000005","235","3.141546630000001","234","3.141613062499998","234","3.141585213958334","229","243"
