"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Job[15] Result","Job[15] Runtime (ms)","Job[16] Result","Job[16] Runtime (ms)","Total Runtime (ms)"
"80","3.14127725","323","3.1412755","323","3.141449","323","3.141047","323","3.14096625","323","3.1416225","323","3.14062475","323","3.14176925","323","3.142158","323","3.141739","323","3.14196525","323","3.14234725","323","3.141185","323","3.14080025","323","3.14095575","323","3.14234025","323","323"
"81","3.141741","315","3.14217775","315","3.14217175","315","3.14193","315","3.1419975","315","3.142013","315","3.14217525","315","3.14139225","315","3.142189","315","3.14151075","315","3.14207625","315","3.14160325","315","3.14137475","315","3.1423295","315","3.14192725","315","3.14208775","315","315"
"82","3.1415665","320","3.14181575","320","3.141078","320","3.14129425","320","3.14124775","320","3.14109075","320","3.14191425","320","3.14140075","320","3.14146875","320","3.14210075","320","3.141354","320","3.1415235","320","3.14157075","320","3.1412705","320","3.1418285","320","3.14178125","320","321"
"83","3.141967","317","3.142111","317","3.1420065","317","3.141263","317","3.141092","317","3.14140725","317","3.14083925","317","3.14205925","317","3.1414725","317","3.141338","317","3.14176975","317","3.141592","317","3.1416135","317","3.14193225","317","3.1415665","317","3.14197475","317","317"
"84","3.14194375","304","3.14089125","304","3.14162875","304","3.14131225","304","3.14195325","304","3.1419355","304","3.14168875","304","3.14229975","304","3.14128225","304","3.1421015","304","3.1416905","304","3.141227","304","3.14175425","304","3.14106025","304","3.14143175","304","3.14142325","304","315"
"85","3.14244475","304","3.141189","304","3.141559","304","3.14237075","304","3.14172475","304","3.141288","304","3.141422","304","3.1413975","304","3.14157125","304","3.1402645","304","3.141374","304","3.14123725","304","3.14217475","304","3.14144375","304","3.14124275","304","3.1411755","304","304"
"86","3.14218725","304","3.14077325","304","3.14140275","304","3.14199325","304","3.14118","304","3.14111775","304","3.141498","304","3.1407435","304","3.14182775","304","3.14161675","304","3.141885","304","3.14058875","304","3.14167525","304","3.14129225","304","3.14147975","304","3.14204825","304","304"
"87","3.1417465","304","3.14046075","304","3.14135675","304","3.141442","304","3.14170075","304","3.14179725","304","3.141224","304","3.14145825","304","3.142654","304","3.141642","304","3.1415725","304","3.141372","304","3.14213325","304","3.1413675","304","3.140876","304","3.14176925","304","305"
"88","3.14146425","302","3.141442","302","3.14178275","302","3.14195025","302","3.1408905","302","3.141514","302","3.1417495","302","3.1424365","302","3.141257","302","3.1408985","302","3.14162625","302","3.1415575","302","3.141855","302","3.14207125","302","3.14232625","302","3.14140925","302","302"
"89","3.141316","301","3.142166","301","3.14161975","301","3.14152825","301","3.14202625","301","3.14143275","301","3.1417165","301","3.14211925","301","3.141021","301","3.14139325","301","3.1409075","301","3.14183175","301","3.1421375","301","3.14200725","301","3.1414705","301","3.1417405","301","301"
