"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Total Runtime (ms)"
"63","3.14203225","269","3.14174075","269","3.1411475","269","3.14148875","269","3.14213125","269","3.1414125","269","3.1421345","269","3.14230975","269","3.1414445","269","3.1415255","269","3.1419395","269","3.14117275","269","3.14149225","269","3.142138","269","270"
"64","3.1414795","278","3.141861","278","3.14120125","278","3.141998","278","3.1417795","278","3.141579","278","3.14143125","278","3.1416275","278","3.141865","278","3.14117025","278","3.14222125","278","3.14161775","278","3.14125125","278","3.1416345","278","279"
"65","3.141088","286","3.14144725","286","3.1415255","286","3.1419725","286","3.141463","286","3.1412055","286","3.1416785","286","3.141938","286","3.141758","286","3.14188275","286","3.14222525","286","3.1412555","286","3.1416445","286","3.14199825","286","287"
"66","3.14129725","276","3.141073","276","3.141585","276","3.14133475","276","3.14211825","276","3.1424935","276","3.141629","276","3.14157525","276","3.1407755","276","3.141068","276","3.142479","276","3.14145975","276","3.14162825","276","3.1409165","276","276"
"67","3.14110825","287","3.1417055","287","3.1412835","287","3.1414795","287","3.14114675","287","3.14141025","287","3.1423005","287","3.14154075","287","3.14181875","287","3.1409425","287","3.1415675","287","3.14176175","287","3.14239275","287","3.14195175","287","287"
"68","3.1419735","273","3.14131475","273","3.14196725","273","3.141476","273","3.14196375","273","3.1416945","273","3.14135475","273","3.141488","273","3.140875","273","3.1416695","273","3.142364","273","3.14051775","273","3.14171","273","3.141099","273","281"
"69","3.141403","280","3.14092575","280","3.14168575","280","3.1420545","280","3.142031","280","3.14128675","280","3.14177675","280","3.14142075","280","3.1410985","280","3.1424855","280","3.141935","280","3.1416015","280","3.141399","280","3.14219525","280","280"
"70","3.141286","279","3.14172325","279","3.14138225","279","3.14137375","279","3.141577","279","3.14106475","279","3.14154325","279","3.1418555","279","3.14183425","279","3.14181325","279","3.1415135","279","3.142325","279","3.14156225","279","3.14211675","279","279"
"71","3.141267","264","3.1413065","264","3.141744","264","3.142078","264","3.14218675","264","3.14146575","264","3.14248975","264","3.14161875","264","3.14116875","264","3.14138025","264","3.141966","264","3.1418355","264","3.14162375","264","3.1423485","264","270"
"72","3.141647","285","3.1409505","285","3.141401","285","3.1420985","285","3.1411985","285","3.1411075","285","3.1416535","285","3.1414465","285","3.14254825","285","3.14170525","285","3.14119225","285","3.14195475","285","3.1416835","285","3.14132025","285","285"
