"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Job[15] Result","Job[15] Runtime (ms)","Total Runtime (ms)"
"91","3.14196475","296","3.14181875","296","3.1425645","296","3.1418595","296","3.1420915","296","3.141863","296","3.140885","296","3.142418","296","3.141526","296","3.14176925","296","3.141699","296","3.14154025","296","3.14185575","296","3.141415","296","3.14132625","296","296"
"92","3.14108475","302","3.1412625","302","3.1421135","302","3.1413645","302","3.14139075","302","3.14150025","302","3.141714","302","3.14181475","302","3.14200475","302","3.14150575","302","3.1421385","302","3.1410195","302","3.14053725","302","3.14131675","302","3.1416635","302","302"
"93","3.14198775","289","3.141701","289","3.14070075","289","3.140484","289","3.14094475","289","3.141302","289","3.1415055","289","3.14126325","289","3.14153975","289","3.1409945","289","3.14171525","289","3.14110775","289","3.14148175","289","3.14190275","289","3.1415095","289","289"
"94","3.14144175","289","3.1418965","289","3.1420695","289","3.1418465","289","3.141588","289","3.141511","289","3.141938","289","3.141911","289","3.1416905","289","3.1413025","289","3.14179225","289","3.141952","289","3.14196475","289","3.14126275","289","3.14122925","289","290"
"95","3.14104875","297","3.14152675","297","3.14206875","297","3.14172675","297","3.14179975","297","3.141775","297","3.1408135","297","3.14096675","297","3.14109025","297","3.141836","297","3.14145675","297","3.142135","297","3.1414155","297","3.14105025","297","3.140922","297","297"
"96","3.14134975","297","3.1415375","297","3.14103775","297","3.141393","297","3.142001","297","3.14083425","297","3.14292075","297","3.1416685","297","3.14169325","297","3.142071","297","3.14161525","297","3.1420795","297","3.141276","297","3.141803","297","3.1412275","297","298"
"97","3.14164725","304","3.14109575","304","3.141564","304","3.14150625","304","3.14127475","304","3.14156075","304","3.14153425","304","3.141274","304","3.14175925","304","3.1415045","304","3.141657","304","3.14144475","304","3.14129925","304","3.14188525","304","3.1413435","304","304"
"98","3.1416405","294","3.1415695","294","3.1415035","294","3.1415345","294","3.1410945","294","3.141975","294","3.14117475","294","3.141265","294","3.142211","294","3.1415785","294","3.141574","294","3.14183675","294","3.141655","294","3.1419255","294","3.1416895","294","294"
"99","3.142193","298","3.1412925","298","3.1418455","298","3.14234275","298","3.142311","298","3.1413495","298","3.1409625","298","3.14078425","298","3.1423805","298","3.141273","298","3.142047","298","3.14143675","298","3.14154375","298","3.1414545","298","3.1419415","298","298"
"100","3.1413145","297","3.14161475","297","3.14194","297","3.140927","297","3.1419325","297","3.14195975","297","3.14216925","297","3.142163","297","3.1414685","297","3.142178","297","3.14122025","297","3.1420195","297","3.1416245","297","3.1419955","297","3.1415845","297","297"
